"Name","SamAccountName","GroupType","ManagedBy","MemberCount","WhenCreated","DistinguishedName"
"Group 1","group1","Distribution","CN=Manager R ,OU=Users,DC=corp,DC=example,DC=com","183","4/16/2025 9:35:45 AM","CN=Group 1,OU=Groups,DC=corp,DC=example,DC=com"
"Group 2","group2","Distribution","CN=Manager F ,OU=Users,DC=corp,DC=example,DC=com","131","6/23/2024 9:35:45 AM","CN=Group 2,OU=Groups,DC=corp,DC=example,DC=com"
"Group 3","group3","Security","CN=Manager E ,OU=Users,DC=corp,DC=example,DC=com","16","8/15/2022 9:35:45 AM","CN=Group 3,OU=Groups,DC=corp,DC=example,DC=com"
"Group 4","group4","Distribution","CN=Manager D ,OU=Users,DC=corp,DC=example,DC=com","236","10/31/2017 9:35:45 AM","CN=Group 4,OU=Groups,DC=corp,DC=example,DC=com"
"Group 5","group5","Security","CN=Manager D ,OU=Users,DC=corp,DC=example,DC=com","101","10/3/2020 9:35:45 AM","CN=Group 5,OU=Groups,DC=corp,DC=example,DC=com"
"Group 6","group6","Security","CN=Manager V ,OU=Users,DC=corp,DC=example,DC=com","39","8/27/2025 9:35:45 AM","CN=Group 6,OU=Groups,DC=corp,DC=example,DC=com"
"Group 7","group7","Security","CN=Manager S ,OU=Users,DC=corp,DC=example,DC=com","242","12/12/2022 9:35:45 AM","CN=Group 7,OU=Groups,DC=corp,DC=example,DC=com"
"Group 8","group8","Security","CN=Manager C ,OU=Users,DC=corp,DC=example,DC=com","184","8/16/2023 9:35:45 AM","CN=Group 8,OU=Groups,DC=corp,DC=example,DC=com"
"Group 9","group9","Security","CN=Manager U ,OU=Users,DC=corp,DC=example,DC=com","135","9/12/2025 9:35:45 AM","CN=Group 9,OU=Groups,DC=corp,DC=example,DC=com"
"Group 10","group10","Distribution","CN=Manager E ,OU=Users,DC=corp,DC=example,DC=com","76","7/13/2018 9:35:45 AM","CN=Group 10,OU=Groups,DC=corp,DC=example,DC=com"
"Group 11","group11","Security","CN=Manager E ,OU=Users,DC=corp,DC=example,DC=com","32","7/10/2023 9:35:45 AM","CN=Group 11,OU=Groups,DC=corp,DC=example,DC=com"
"Group 12","group12","Distribution","CN=Manager F ,OU=Users,DC=corp,DC=example,DC=com","202","9/3/2025 9:35:45 AM","CN=Group 12,OU=Groups,DC=corp,DC=example,DC=com"
"Group 13","group13","Distribution","CN=Manager W ,OU=Users,DC=corp,DC=example,DC=com","200","6/18/2021 9:35:45 AM","CN=Group 13,OU=Groups,DC=corp,DC=example,DC=com"
"Group 14","group14","Distribution","CN=Manager Z ,OU=Users,DC=corp,DC=example,DC=com","104","3/28/2018 9:35:45 AM","CN=Group 14,OU=Groups,DC=corp,DC=example,DC=com"
"Group 15","group15","Distribution","CN=Manager X ,OU=Users,DC=corp,DC=example,DC=com","125","4/18/2022 9:35:45 AM","CN=Group 15,OU=Groups,DC=corp,DC=example,DC=com"
"Group 16","group16","Distribution","CN=Manager G ,OU=Users,DC=corp,DC=example,DC=com","8","9/7/2019 9:35:45 AM","CN=Group 16,OU=Groups,DC=corp,DC=example,DC=com"
"Group 17","group17","Distribution","CN=Manager C ,OU=Users,DC=corp,DC=example,DC=com","107","8/29/2025 9:35:45 AM","CN=Group 17,OU=Groups,DC=corp,DC=example,DC=com"
"Group 18","group18","Distribution","CN=Manager M ,OU=Users,DC=corp,DC=example,DC=com","246","2/12/2021 9:35:45 AM","CN=Group 18,OU=Groups,DC=corp,DC=example,DC=com"
"Group 19","group19","Distribution","CN=Manager W ,OU=Users,DC=corp,DC=example,DC=com","124","1/2/2025 9:35:45 AM","CN=Group 19,OU=Groups,DC=corp,DC=example,DC=com"
"Group 20","group20","Distribution","CN=Manager M ,OU=Users,DC=corp,DC=example,DC=com","75","4/14/2022 9:35:45 AM","CN=Group 20,OU=Groups,DC=corp,DC=example,DC=com"
"Group 21","group21","Security","CN=Manager E ,OU=Users,DC=corp,DC=example,DC=com","207","8/5/2024 9:35:45 AM","CN=Group 21,OU=Groups,DC=corp,DC=example,DC=com"
"Group 22","group22","Distribution","CN=Manager E ,OU=Users,DC=corp,DC=example,DC=com","124","9/14/2020 9:35:45 AM","CN=Group 22,OU=Groups,DC=corp,DC=example,DC=com"
"Group 23","group23","Security","CN=Manager E ,OU=Users,DC=corp,DC=example,DC=com","147","3/22/2019 9:35:45 AM","CN=Group 23,OU=Groups,DC=corp,DC=example,DC=com"
"Group 24","group24","Security","CN=Manager Z ,OU=Users,DC=corp,DC=example,DC=com","120","6/3/2025 9:35:45 AM","CN=Group 24,OU=Groups,DC=corp,DC=example,DC=com"
"Group 25","group25","Security","CN=Manager P ,OU=Users,DC=corp,DC=example,DC=com","161","7/23/2018 9:35:45 AM","CN=Group 25,OU=Groups,DC=corp,DC=example,DC=com"
